pantone,name,hex,rgb,skc,family,shade,needs_review
19-1020TPG,Dark Earth,#5F4D40,"95,77,64",8690,8,690,True
16-1334TPG,Tan,#BA9C76,"186,156,118",8400,8,400,False
17-1325TPG,Cartouche,#AC8E6F,"172,142,111",8450,8,450,False
17-1038TPG,Tiger's Eye,#9D8168,"157,129,104",8500,8,500,False
18-1014TPG,Malt Ball,#856C58,"133,108,88",8570,8,570,False
18-1020TPG,Cocoa Crème,#8B7360,"139,115,96",8550,8,550,False
18-1029TPG,Toasted Coconut,#8F725D,"143,114,93",8550,8,550,False
18-1025TPG,Foxtrot,#8F6C50,"143,108,80",8560,8,560,False
14-1038TPG,New Wheat,#D8B780,"216,183,128",2320,2,320,False
16-0928TPG,Curry,#BC9D6E,"188,157,110",8400,8,400,False
15-1040TPG,Iced Coffee,#B69573,"182,149,115",8420,8,420,False
17-1045TPG,Apple Cinnamon,#AE895D,"174,137,93",8460,8,460,False
17-1128TPG,Bone Brown,#9D794C,"157,121,76",8520,8,520,False
17-1125TPG,Dijon,#9A7C52,"154,124,82",8510,8,510,False
17-0942TPG,Medal Bronze,#97784D,"151,120,77",8530,8,530,False
13-1031TPG,Apricot Sherbet,#FDD19C,"253,209,156",2220,2,220,False
13-1030TPG,Sunburst,#FAC58C,"250,197,140",2250,2,250,False
16-1144TPG,Oak Buff,#D09F64,"208,159,100",2380,2,380,False
16-1143TPG,Honey Yellow,#CB9658,"203,150,88",2410,2,410,False
17-1040TPG,Spruce Yellow,#BF8D4E,"191,141,78",2440,2,440,False
17-1048TPG,Inca Gold,#BD7F37,"189,127,55",2480,2,480,False
18-0935TPG,Buckthorn Brown,#AC7835,"172,120,53",2510,2,510,False
13-1027TPG,Apricot Cream,#F4BF86,"244,191,134",2270,2,270,False
14-1128TPG,Buff Orange,#FFBE7B,"255,190,123",2270,2,270,False
15-1145TPG,Chamois,#F6B066,"246,176,102",2310,2,310,False
